Municipios;Fenómeno demográfico;Total
07019 Escorca;matrimonios por el lugar en que han fijado residencia;0
07019 Escorca;fallecidos por el lugar de residencia;0
07019 Escorca;crecimiento vegetativo;3
07020 Esporles;nacidos vivos por residencia materna;35
07020 Esporles;muertes fetales tardías por residencia materna;0
07020 Esporles;matrimonios por el lugar en que han fijado residencia;14
07020 Esporles;fallecidos por el lugar de residencia;45
07020 Esporles;crecimiento vegetativo;-10
07021 Estellencs;nacidos vivos por residencia materna;1
07021 Estellencs;muertes fetales tardías por residencia materna;0
07021 Estellencs;matrimonios por el lugar en que han fijado residencia;0
07021 Estellencs;fallecidos por el lugar de residencia;3
07021 Estellencs;crecimiento vegetativo;-2
07022 Felanitx;nacidos vivos por residencia materna;186
07022 Felanitx;muertes fetales tardías por residencia materna;1
07022 Felanitx;matrimonios por el lugar en que han fijado residencia;42
07022 Felanitx;fallecidos por el lugar de residencia;172
07022 Felanitx;crecimiento vegetativo;14
07023 Ferreries;nacidos vivos por residencia materna;39
07023 Ferreries;muertes fetales tardías por residencia materna;0
07023 Ferreries;matrimonios por el lugar en que han fijado residencia;13
07023 Ferreries;fallecidos por el lugar de residencia;30
07023 Ferreries;crecimiento vegetativo;9
07024 Formentera;nacidos vivos por residencia materna;91
07024 Formentera;muertes fetales tardías por residencia materna;1
07024 Formentera;matrimonios por el lugar en que han fijado residencia;28
07024 Formentera;fallecidos por el lugar de residencia;52
07024 Formentera;crecimiento vegetativo;39
07025 Fornalutx;nacidos vivos por residencia materna;4
07025 Fornalutx;muertes fetales tardías por residencia materna;0
07025 Fornalutx;matrimonios por el lugar en que han fijado residencia;1
07025 Fornalutx;fallecidos por el lugar de residencia;3
07025 Fornalutx;crecimiento vegetativo;1
07027 Inca;nacidos vivos por residencia materna;334
07027 Inca;muertes fetales tardías por residencia materna;0
07027 Inca;matrimonios por el lugar en que han fijado residencia;71
07027 Inca;fallecidos por el lugar de residencia;246
07027 Inca;crecimiento vegetativo;88
07028 Lloret de Vistalegre;nacidos vivos por residencia materna;16
07028 Lloret de Vistalegre;muertes fetales tardías por residencia materna;0
07028 Lloret de Vistalegre;matrimonios por el lugar en que han fijado residencia;2
07028 Lloret de Vistalegre;fallecidos por el lugar de residencia;12
07028 Lloret de Vistalegre;crecimiento vegetativo;4
07029 Lloseta;nacidos vivos por residencia materna;58
07029 Lloseta;muertes fetales tardías por residencia materna;0
07029 Lloseta;matrimonios por el lugar en que han fijado residencia;17
07029 Lloseta;fallecidos por el lugar de residencia;44
07029 Lloseta;crecimiento vegetativo;14
07030 Llubí;nacidos vivos por residencia materna;24
07030 Llubí;muertes fetales tardías por residencia materna;0
07030 Llubí;matrimonios por el lugar en que han fijado residencia;10
07030 Llubí;fallecidos por el lugar de residencia;23
07030 Llubí;crecimiento vegetativo;1
07031 Llucmajor;nacidos vivos por residencia materna;277
07031 Llucmajor;muertes fetales tardías por residencia materna;3
07031 Llucmajor;matrimonios por el lugar en que han fijado residencia;98
07031 Llucmajor;fallecidos por el lugar de residencia;218
07031 Llucmajor;crecimiento vegetativo;59
07033 Manacor;nacidos vivos por residencia materna;445
07033 Manacor;muertes fetales tardías por residencia materna;0
07033 Manacor;matrimonios por el lugar en que han fijado residencia;81
07033 Manacor;fallecidos por el lugar de residencia;341
07033 Manacor;crecimiento vegetativo;104
07034 Mancor de la Vall;nacidos vivos por residencia materna;13
07034 Mancor de la Vall;muertes fetales tardías por residencia materna;0
07034 Mancor de la Vall;matrimonios por el lugar en que han fijado residencia;8
07034 Mancor de la Vall;fallecidos por el lugar de residencia;10
07034 Mancor de la Vall;crecimiento vegetativo;3
07032 Maó-Mahón;nacidos vivos por residencia materna;239
07032 Maó-Mahón;muertes fetales tardías por residencia materna;1
07032 Maó-Mahón;matrimonios por el lugar en que han fijado residencia;88
07032 Maó-Mahón;fallecidos por el lugar de residencia;189
07032 Maó-Mahón;crecimiento vegetativo;50
07035 Maria de la Salut;nacidos vivos por residencia materna;19
07035 Maria de la Salut;muertes fetales tardías por residencia materna;0
07035 Maria de la Salut;matrimonios por el lugar en que han fijado residencia;9
07035 Maria de la Salut;fallecidos por el lugar de residencia;30
07035 Maria de la Salut;crecimiento vegetativo;-11
07036 Marratxí;nacidos vivos por residencia materna;264
07036 Marratxí;muertes fetales tardías por residencia materna;2
07036 Marratxí;matrimonios por el lugar en que han fijado residencia;95
07036 Marratxí;fallecidos por el lugar de residencia;200
07036 Marratxí;crecimiento vegetativo;64
07037 Mercadal, Es;nacidos vivos por residencia materna;33
07037 Mercadal, Es;muertes fetales tardías por residencia materna;0
07037 Mercadal, Es;matrimonios por el lugar en que han fijado residencia;14
07037 Mercadal, Es;fallecidos por el lugar de residencia;29
07037 Mercadal, Es;crecimiento vegetativo;4
07902 Migjorn Gran, Es;nacidos vivos por residencia materna;6
07902 Migjorn Gran, Es;muertes fetales tardías por residencia materna;0
07902 Migjorn Gran, Es;matrimonios por el lugar en que han fijado residencia;8
07902 Migjorn Gran, Es;fallecidos por el lugar de residencia;3
07902 Migjorn Gran, Es;crecimiento vegetativo;3
07038 Montuïri;nacidos vivos por residencia materna;22
07038 Montuïri;muertes fetales tardías por residencia materna;1
07038 Montuïri;matrimonios por el lugar en que han fijado residencia;7
07038 Montuïri;fallecidos por el lugar de residencia;30
07038 Montuïri;crecimiento vegetativo;-8
07039 Muro;nacidos vivos por residencia materna;77
07039 Muro;muertes fetales tardías por residencia materna;0
07039 Muro;matrimonios por el lugar en que han fijado residencia;23
07039 Muro;fallecidos por el lugar de residencia;71
07039 Muro;crecimiento vegetativo;6
07040 Palma;nacidos vivos por residencia materna;3.345
07040 Palma;muertes fetales tardías por residencia materna;16
07040 Palma;matrimonios por el lugar en que han fijado residencia;1.114
07040 Palma;fallecidos por el lugar de residencia;3.355
07040 Palma;crecimiento vegetativo;-10
07041 Petra;nacidos vivos por residencia materna;26
07041 Petra;muertes fetales tardías por residencia materna;0
07041 Petra;matrimonios por el lugar en que han fijado residencia;7
07041 Petra;fallecidos por el lugar de residencia;28
07041 Petra;crecimiento vegetativo;-2
07044 Pobla, Sa;nacidos vivos por residencia materna;170
07044 Pobla, Sa;muertes fetales tardías por residencia materna;1
07044 Pobla, Sa;matrimonios por el lugar en que han fijado residencia;27
07044 Pobla, Sa;fallecidos por el lugar de residencia;108
07044 Pobla, Sa;crecimiento vegetativo;62
07042 Pollença;nacidos vivos por residencia materna;130
07042 Pollença;muertes fetales tardías por residencia materna;0
07042 Pollença;matrimonios por el lugar en que han fijado residencia;50
07042 Pollença;fallecidos por el lugar de residencia;134
07042 Pollença;crecimiento vegetativo;-4
07043 Porreres;nacidos vivos por residencia materna;50
07043 Porreres;muertes fetales tardías por residencia materna;0
07043 Porreres;matrimonios por el lugar en que han fijado residencia;10
07043 Porreres;fallecidos por el lugar de residencia;58
07043 Porreres;crecimiento vegetativo;-8
07045 Puigpunyent;nacidos vivos por residencia materna;13
07045 Puigpunyent;muertes fetales tardías por residencia materna;0
07045 Puigpunyent;matrimonios por el lugar en que han fijado residencia;3
07045 Puigpunyent;fallecidos por el lugar de residencia;12
07045 Puigpunyent;crecimiento vegetativo;1
07059 Salines, Ses;nacidos vivos por residencia materna;34
07059 Salines, Ses;muertes fetales tardías por residencia materna;0
07059 Salines, Ses;matrimonios por el lugar en que han fijado residencia;7
07059 Salines, Ses;fallecidos por el lugar de residencia;42
07059 Salines, Ses;crecimiento vegetativo;-8
07046 Sant Antoni de Portmany;nacidos vivos por residencia materna;230
07046 Sant Antoni de Portmany;muertes fetales tardías por residencia materna;2
07046 Sant Antoni de Portmany;matrimonios por el lugar en que han fijado residencia;62
07046 Sant Antoni de Portmany;fallecidos por el lugar de residencia;151
07046 Sant Antoni de Portmany;crecimiento vegetativo;79
07049 Sant Joan;nacidos vivos por residencia materna;23
07049 Sant Joan;muertes fetales tardías por residencia materna;0
07049 Sant Joan;matrimonios por el lugar en que han fijado residencia;4
07049 Sant Joan;fallecidos por el lugar de residencia;46
07049 Sant Joan;crecimiento vegetativo;-23
07050 Sant Joan de Labritja;nacidos vivos por residencia materna;52
07050 Sant Joan de Labritja;muertes fetales tardías por residencia materna;0
07050 Sant Joan de Labritja;matrimonios por el lugar en que han fijado residencia;9
07050 Sant Joan de Labritja;fallecidos por el lugar de residencia;49
07050 Sant Joan de Labritja;crecimiento vegetativo;3
07048 Sant Josep de sa Talaia;nacidos vivos por residencia materna;237
07048 Sant Josep de sa Talaia;muertes fetales tardías por residencia materna;1
07048 Sant Josep de sa Talaia;matrimonios por el lugar en que han fijado residencia;64
07048 Sant Josep de sa Talaia;fallecidos por el lugar de residencia;141
07048 Sant Josep de sa Talaia;crecimiento vegetativo;96
07051 Sant Llorenç des Cardassar;nacidos vivos por residencia materna;61
07051 Sant Llorenç des Cardassar;muertes fetales tardías por residencia materna;0
07051 Sant Llorenç des Cardassar;matrimonios por el lugar en que han fijado residencia;25
07051 Sant Llorenç des Cardassar;fallecidos por el lugar de residencia;55
07051 Sant Llorenç des Cardassar;crecimiento vegetativo;6
07052 Sant Lluís;nacidos vivos por residencia materna;37
07052 Sant Lluís;muertes fetales tardías por residencia materna;0
07052 Sant Lluís;matrimonios por el lugar en que han fijado residencia;20
07052 Sant Lluís;fallecidos por el lugar de residencia;41
07052 Sant Lluís;crecimiento vegetativo;-4
07053 Santa Eugènia;nacidos vivos por residencia materna;8
07053 Santa Eugènia;muertes fetales tardías por residencia materna;0
07053 Santa Eugènia;matrimonios por el lugar en que han fijado residencia;5
07053 Santa Eugènia;fallecidos por el lugar de residencia;11
07053 Santa Eugènia;crecimiento vegetativo;-3
07054 Santa Eulària des Riu;nacidos vivos por residencia materna;303
07054 Santa Eulària des Riu;muertes fetales tardías por residencia materna;0
07054 Santa Eulària des Riu;matrimonios por el lugar en que han fijado residencia;113
07054 Santa Eulària des Riu;fallecidos por el lugar de residencia;229
07054 Santa Eulària des Riu;crecimiento vegetativo;74
07055 Santa Margalida;nacidos vivos por residencia materna;92
07055 Santa Margalida;muertes fetales tardías por residencia materna;0
07055 Santa Margalida;matrimonios por el lugar en que han fijado residencia;35
07055 Santa Margalida;fallecidos por el lugar de residencia;110
07055 Santa Margalida;crecimiento vegetativo;-18
07056 Santa María del Camí;nacidos vivos por residencia materna;63
07056 Santa María del Camí;muertes fetales tardías por residencia materna;0
07056 Santa María del Camí;matrimonios por el lugar en que han fijado residencia;20
07056 Santa María del Camí;fallecidos por el lugar de residencia;65
07056 Santa María del Camí;crecimiento vegetativo;-2
07057 Santanyí;nacidos vivos por residencia materna;86
07057 Santanyí;muertes fetales tardías por residencia materna;0
